step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,PAYMENT,1014.71,46409.74,23892.53,19475.85,69947.48,0,0
436,CASH_OUT,3193.48,29756.49,74837.96,66526.52,67073.08,0,0
271,DEBIT,2322.72,8900.28,69129.13,97969.96,22371.23,0,0
107,DEBIT,2873.97,90516.29,32959.43,32082.01,31089.3,0,0
72,TRANSFER,53.25,89396.77,63341.76,26819.82,71034.41,0,0
701,DEBIT,1124.09,62889.01,82702.22,51493.57,94708.08,0,0
21,PAYMENT,3891.13,32437.58,84454.81,75120.78,83588.02,0,0
615,PAYMENT,1346.4,62798.28,79150.8,34314.04,65353.98,0,0
122,DEBIT,2343.23,96441.47,35438.18,57031.38,48163.98,0,0
467,TRANSFER,2820.78,88339.88,48082.17,12479.94,80802.49,0,0
215,TRANSFER,257.39,16557.33,64817.21,68123.9,69784.61,0,0
331,TRANSFER,338.6,81619.71,37685.86,13590.6,5027.71,0,0
459,DEBIT,2578.72,79776.23,66445.45,37498.06,67430.81,0,0
88,DEBIT,112.23,91725.45,77941.56,72840.33,20335.25,0,0
373,TRANSFER,836.78,4752.08,9499.85,11477.44,10755.45,0,0
100,DEBIT,5004.11,76649.22,40026.77,59122.1,45928.73,0,0
664,CASH_OUT,1708.3,54610.86,62005.42,79427.1,15518.41,0,0
131,PAYMENT,4826.55,53827.88,41091.15,99240.93,89727.08,0,0
662,DEBIT,740.44,34931.91,59782.38,97430.02,30776.28,0,0
309,CASH_OUT,2024.65,78575.38,55766.09,20606.25,58606.82,0,0
344,DEBIT,675.83,42367.17,89150.07,82232.13,85828.48,0,0
492,CASH_OUT,235.59,35791.48,53243.53,1716.31,99246.37,0,0
414,TRANSFER,9354.47,96034.03,85476.82,99173.68,82711.25,0,0
386,PAYMENT,387.73,46288.25,10822.49,71545.57,83698.7,0,0
192,DEBIT,417.7,79252.48,60275.27,40364.4,71539.59,0,0
277,CASH_OUT,3689.29,13917.18,44262.16,86489.16,23040.99,0,0
161,CASH_OUT,3241.37,74005.32,79401.02,72296.19,48492.8,0,0
460,TRANSFER,7618.02,67103.09,49201.17,71780.03,84704.35,0,0
314,PAYMENT,148.9,51090.5,76372.89,80147.36,54743.84,0,0
22,PAYMENT,197.71,13743.85,28096.34,7496.91,92.29,0,0
253,PAYMENT,1191.0,12058.03,62699.34,24703.26,90122.22,0,0
561,CASH_OUT,1791.74,67627.67,3354.98,26382.82,10030.76,0,0
475,DEBIT,77.54,85580.65,14623.71,26628.36,27332.33,0,0
59,DEBIT,344.88,56715.26,75342.26,22773.41,81653.68,0,0
511,TRANSFER,2430.31,46087.44,1714.8,54516.38,89713.41,0,0
682,PAYMENT,2208.49,52001.52,316.89,74322.76,71538.94,0,0
476,DEBIT,187.93,15656.45,94229.6,71239.8,95429.51,0,0
700,CASH_OUT,5366.7,5200.81,12254.9,91746.03,6758.79,0,0
190,CASH_OUT,588.11,82905.14,23994.94,72197.2,40197.08,0,0
687,PAYMENT,4364.82,84641.72,22020.23,67865.39,30730.35,0,0
563,TRANSFER,5127.59,75322.58,49854.44,34812.63,18190.07,0,0
567,TRANSFER,1346.96,77163.24,97536.93,87250.96,10774.68,0,0
244,PAYMENT,1061.94,21394.28,7293.59,39368.82,86661.23,0,0
505,CASH_OUT,651.84,10872.38,87818.34,29605.13,85074.47,0,0
131,TRANSFER,3294.09,15999.29,57673.81,61070.86,11023.15,0,0
485,CASH_OUT,437.78,63868.74,67272.52,93054.76,90701.61,0,0
647,CASH_OUT,1946.38,39732.63,78183.81,62292.05,47317.63,0,0
21,DEBIT,1674.65,1574.69,86932.95,1724.89,95797.92,0,0
167,TRANSFER,572.42,95044.61,86797.37,52702.74,93939.94,0,0
274,CASH_OUT,8154.64,23029.32,73664.46,29975.25,49642.38,0,0
388,DEBIT,3745.82,428.9,35964.1,33548.14,21689.21,0,0
601,CASH_OUT,41.48,38406.36,80925.63,41011.49,48858.35,0,0
316,PAYMENT,1097.24,21299.73,32256.73,97388.95,50105.41,0,0
14,TRANSFER,889.36,36903.5,64843.89,15978.21,14336.58,0,0
242,CASH_OUT,4287.9,93835.64,48485.97,3936.59,50867.07,0,0
346,TRANSFER,614.4,62101.36,89958.79,45260.86,3883.73,0,0
565,DEBIT,12939.84,64575.27,4083.46,63667.97,55182.57,0,0
340,TRANSFER,446.49,88359.38,37847.54,23433.86,21976.93,0,0
92,CASH_OUT,559.12,11355.62,173.91,78180.75,48216.61,0,0
367,TRANSFER,2193.72,10015.58,30559.86,17244.22,28097.9,0,0
455,PAYMENT,351.22,85529.8,4225.2,49643.41,24132.65,0,0
428,PAYMENT,4392.89,15919.4,13264.47,42976.52,7671.98,0,0
509,DEBIT,232.91,73402.81,22440.96,56584.51,53943.79,0,0
35,CASH_OUT,8186.78,20890.38,26367.99,84315.41,33702.2,0,0
206,TRANSFER,4153.18,47499.23,7764.71,69850.54,94731.52,0,0
81,DEBIT,3660.87,38539.36,91872.52,69883.87,33335.35,0,0
562,DEBIT,1045.85,10354.64,17472.82,59355.02,53593.27,0,0
388,CASH_OUT,1441.62,67137.31,15375.28,94525.55,51840.76,0,0
2,TRANSFER,1218.93,85472.94,57691.71,56838.8,81970.98,0,0
390,DEBIT,8752.4,9939.3,52218.69,89145.55,43059.66,0,0
566,DEBIT,70.89,35757.56,56681.91,66660.7,60523.93,0,0
106,CASH_OUT,961.59,2835.07,18238.71,25670.95,48589.01,0,0
477,CASH_OUT,6908.46,23591.65,50463.74,63875.47,23303.07,0,0
703,DEBIT,922.14,26036.71,297.86,85907.12,12598.33,0,0
402,TRANSFER,1016.27,81710.04,44007.31,64936.07,42755.31,0,0
730,DEBIT,1995.55,75214.05,66234.05,38454.62,68283.68,0,0
556,PAYMENT,4756.1,83150.08,32300.22,96954.74,44192.95,0,0
162,CASH_OUT,697.76,8048.39,405.69,57706.12,55837.99,0,0
202,PAYMENT,5897.9,13313.4,68292.12,63358.24,82474.69,0,0
270,TRANSFER,664.14,30405.19,24999.79,89581.95,8323.29,0,0
271,CASH_OUT,3379.07,74435.68,56038.76,94494.89,41168.87,0,0
456,TRANSFER,645.48,2502.64,18718.26,12804.41,35141.37,0,0
